,Overall,Izzet Phoenix,Azorius Control,Rakdos Demons,Selesnya Company,Enigmatic Incarnation,Mono Black Demons,Lotus Field Combo,Green Devotion,Mardu Greasefang,Rakdos Midrange,Abzan Greasefang,Domain Zur,Azorius Spirits,5 Color Niv-Mizzet,Azorius Lotus Field,Boros Tokens Control,Jund Sacrifice,Azorius Humans,Mono White Humans,Rakdos Transmogrify,Rakdos Prowess,Orzhov Demons,Quintorius Combo,Boros Burn,Dimir Ninjas,Esper Control,5 Color Landfall,Mono Black,Red Deck Wins,Izzet Creativity,Atarka Red,Golgari Midrange,
Quintorius Combo,42% - 58%,18% - 67%,8% - 55%,39% - 91%,19% - 81%,28% - 85%,36% - 100%,5% - 85%,19% - 99%,19% - 99%,40% - 97%,1% - 99%,9% - 99%,1% - 81%,1% - 81%,1% - 99%,29% - 100%,0% - 84%,0% - 84%,1% - 72%,7% - 93%,--,--,1% - 99%,0% - 60%,0% - 98%,1% - 91%,--,29% - 100%,--,--,0% - 98%,1% - 99%,16
,50%,41%,27%,69%,50%,58%,83%,40%,75%,75%,78%,50%,67%,25%,25%,50%,100%,0%,0%,20%,50%,,,50%,0%,0%,33%,,100%,,,0%,50%,50
,164 matches,17 matches,15 matches,13 matches,10 matches,12 matches,6 matches,5 matches,4 matches,4 matches,9 matches,2 matches,3 matches,4 matches,4 matches,2 matches,3 matches,2 matches,2 matches,5 matches,4 matches,,,2 matches,4 matches,1 matches,3 matches,,3 matches,,,1 matches,2 matches,164
Boros Burn,51% - 67%,64% - 97%,22% - 96%,32% - 68%,13% - 59%,19% - 81%,1% - 99%,36% - 100%,19% - 99%,47% - 100%,0% - 84%,1% - 99%,2% - 100%,--,0% - 98%,1% - 99%,1% - 91%,0% - 84%,2% - 100%,0% - 98%,16% - 100%,--,0% - 98%,40% - 100%,7% - 93%,0% - 98%,0% - 98%,--,--,1% - 99%,--,0% - 98%,2% - 100%,16
,59%,86%,67%,50%,33%,50%,50%,83%,75%,88%,0%,50%,100%,,0%,50%,33%,0%,100%,0%,100%,,0%,100%,50%,0%,0%,,,50%,,0%,100%,59
,153 matches,21 matches,6 matches,32 matches,18 matches,10 matches,2 matches,6 matches,4 matches,8 matches,2 matches,2 matches,1 matches,,1 matches,2 matches,3 matches,2 matches,1 matches,1 matches,2 matches,,1 matches,4 matches,4 matches,1 matches,1 matches,,,2 matches,,1 matches,1 matches,153
Dimir Ninjas,52% - 69%,34% - 69%,35% - 93%,33% - 80%,29% - 76%,9% - 99%,16% - 100%,7% - 93%,28% - 99%,18% - 90%,--,1% - 99%,7% - 93%,40% - 100%,2% - 100%,7% - 93%,--,29% - 100%,15% - 95%,--,2% - 100%,--,0% - 98%,2% - 100%,2% - 100%,1% - 99%,2% - 100%,--,--,2% - 100%,0% - 84%,--,16% - 100%,17
,61%,52%,70%,58%,53%,67%,100%,50%,80%,57%,,50%,50%,100%,100%,50%,,100%,60%,,100%,,0%,100%,100%,50%,100%,,,100%,0%,,100%,61
,148 matches,33 matches,10 matches,19 matches,19 matches,3 matches,2 matches,4 matches,5 matches,7 matches,,2 matches,4 matches,4 matches,1 matches,4 matches,,3 matches,5 matches,,1 matches,,1 matches,1 matches,1 matches,2 matches,1 matches,,,1 matches,2 matches,,2 matches,148
Esper Control,39% - 57%,38% - 84%,30% - 80%,32% - 84%,11% - 69%,4% - 71%,23% - 83%,1% - 72%,0% - 98%,0% - 84%,1% - 99%,1% - 99%,5% - 85%,1% - 81%,1% - 99%,1% - 99%,2% - 100%,--,0% - 98%,19% - 99%,--,1% - 99%,0% - 98%,9% - 99%,2% - 100%,0% - 98%,1% - 99%,--,0% - 98%,--,0% - 98%,0% - 98%,--,18
,48%,63%,56%,60%,36%,29%,55%,20%,0%,0%,50%,50%,40%,25%,50%,50%,100%,,0%,75%,,50%,0%,67%,100%,0%,50%,,0%,,0%,0%,,48
,133 matches,19 matches,16 matches,15 matches,11 matches,7 matches,11 matches,5 matches,1 matches,2 matches,2 matches,2 matches,5 matches,4 matches,2 matches,2 matches,1 matches,,1 matches,4 matches,,2 matches,1 matches,3 matches,1 matches,1 matches,2 matches,,1 matches,,1 matches,1 matches,,133
5 Color Landfall,40% - 58%,15% - 59%,45% - 92%,19% - 99%,22% - 96%,31% - 78%,5% - 85%,4% - 71%,1% - 91%,1% - 99%,9% - 99%,4% - 71%,--,16% - 100%,1% - 99%,2% - 100%,22% - 96%,2% - 100%,--,0% - 84%,0% - 84%,0% - 98%,0% - 98%,--,--,--,--,--,2% - 100%,0% - 98%,--,--,2% - 100%,18
,49%,35%,73%,75%,67%,56%,40%,29%,33%,50%,67%,29%,,100%,50%,100%,67%,100%,,0%,0%,0%,0%,,,,,,100%,0%,,,100%,49
,124 matches,20 matches,15 matches,4 matches,6 matches,18 matches,5 matches,7 matches,3 matches,2 matches,3 matches,7 matches,,2 matches,2 matches,1 matches,6 matches,1 matches,,2 matches,2 matches,1 matches,1 matches,,,,,,1 matches,1 matches,,,1 matches,124
Mono Black,32% - 50%,28% - 72%,9% - 51%,1% - 99%,10% - 82%,16% - 84%,0% - 64%,9% - 99%,1% - 81%,9% - 99%,15% - 95%,0% - 60%,--,9% - 99%,2% - 100%,1% - 81%,1% - 91%,9% - 99%,--,0% - 98%,--,1% - 91%,--,0% - 71%,--,--,2% - 100%,0% - 98%,1% - 99%,--,0% - 98%,--,--,18
,40%,50%,26%,50%,43%,50%,17%,67%,25%,67%,60%,0%,,67%,100%,25%,33%,67%,,0%,,33%,,0%,,,100%,0%,50%,,0%,,,40
,121 matches,22 matches,19 matches,2 matches,7 matches,8 matches,6 matches,3 matches,4 matches,3 matches,5 matches,4 matches,,3 matches,1 matches,4 matches,3 matches,3 matches,,1 matches,,3 matches,,3 matches,,,1 matches,1 matches,2 matches,,1 matches,,,121
Red Deck Wins,36% - 55%,23% - 68%,16% - 84%,5% - 54%,21% - 86%,10% - 82%,5% - 85%,19% - 99%,9% - 99%,2% - 100%,1% - 99%,1% - 99%,0% - 84%,1% - 91%,1% - 81%,1% - 99%,9% - 99%,0% - 98%,1% - 91%,1% - 99%,1% - 91%,0% - 98%,--,--,1% - 99%,0% - 98%,--,2% - 100%,--,--,--,--,2% - 100%,19
,46%,45%,50%,23%,56%,43%,40%,75%,67%,100%,50%,50%,0%,33%,25%,50%,67%,0%,33%,50%,33%,0%,,,50%,0%,,100%,,,,,100%,46
,114 matches,20 matches,8 matches,13 matches,9 matches,7 matches,5 matches,4 matches,3 matches,1 matches,2 matches,2 matches,2 matches,3 matches,4 matches,2 matches,3 matches,1 matches,3 matches,2 matches,3 matches,1 matches,,,2 matches,1 matches,,1 matches,,,,,1 matches,114
Izzet Creativity,46% - 65%,14% - 68%,49% - 95%,0% - 58%,19% - 99%,26% - 88%,4% - 78%,40% - 97%,19% - 99%,16% - 100%,15% - 95%,7% - 93%,1% - 91%,2% - 100%,--,1% - 99%,--,1% - 99%,0% - 98%,0% - 98%,--,--,0% - 84%,--,--,16% - 100%,2% - 100%,--,2% - 100%,--,--,1% - 91%,--,19
,56%,38%,79%,14%,75%,60%,33%,78%,75%,100%,60%,50%,33%,100%,,50%,,50%,0%,0%,,,0%,,,100%,100%,,100%,,,33%,,56
,106 matches,13 matches,14 matches,7 matches,4 matches,10 matches,6 matches,9 matches,4 matches,2 matches,5 matches,4 matches,3 matches,1 matches,,2 matches,,2 matches,1 matches,1 matches,,,2 matches,,,2 matches,1 matches,,1 matches,,,3 matches,,106
Goblins,41% - 62%,14% - 68%,30% - 93%,5% - 85%,23% - 83%,19% - 81%,29% - 96%,1% - 99%,19% - 99%,12% - 88%,1% - 99%,9% - 99%,2% - 100%,2% - 100%,2% - 100%,0% - 98%,1% - 91%,--,0% - 98%,--,1% - 99%,0% - 98%,--,--,--,--,--,--,1% - 99%,--,--,0% - 98%,--,21
,52%,38%,67%,40%,55%,50%,71%,50%,75%,50%,50%,67%,100%,100%,100%,0%,33%,,0%,,50%,0%,,,,,,,50%,,,0%,,52
,95 matches,13 matches,9 matches,5 matches,11 matches,10 matches,7 matches,2 matches,4 matches,6 matches,2 matches,3 matches,1 matches,1 matches,1 matches,1 matches,3 matches,,1 matches,,2 matches,1 matches,,,,,,,2 matches,,,1 matches,,95
Dimir Rogues,40% - 61%,15% - 57%,32% - 86%,9% - 99%,2% - 100%,16% - 84%,9% - 99%,9% - 99%,1% - 91%,--,9% - 99%,1% - 81%,16% - 100%,0% - 98%,1% - 99%,--,7% - 93%,--,--,--,9% - 99%,--,--,--,0% - 98%,1% - 99%,--,0% - 98%,16% - 100%,--,--,--,--,21
,51%,33%,62%,67%,100%,50%,67%,67%,33%,,67%,25%,100%,0%,50%,,50%,,,,67%,,,,0%,50%,,0%,100%,,,,,51
,89 matches,21 matches,13 matches,3 matches,1 matches,8 matches,3 matches,3 matches,3 matches,,3 matches,4 matches,2 matches,1 matches,2 matches,,4 matches,,,,3 matches,,,,1 matches,2 matches,,1 matches,2 matches,,,,,89
Dimir Control,40% - 62%,44% - 97%,19% - 75%,16% - 100%,5% - 85%,14% - 79%,0% - 98%,0% - 84%,4% - 78%,1% - 81%,1% - 81%,0% - 98%,--,2% - 100%,2% - 100%,28% - 99%,9% - 99%,--,0% - 98%,0% - 98%,0% - 84%,1% - 99%,0% - 98%,1% - 99%,--,--,--,9% - 99%,--,--,--,--,--,22
,51%,80%,46%,100%,40%,44%,0%,0%,33%,25%,25%,0%,,100%,100%,80%,67%,,0%,0%,0%,50%,0%,50%,,,,67%,,,,,,51
,86 matches,10 matches,13 matches,2 matches,5 matches,9 matches,1 matches,2 matches,6 matches,4 matches,4 matches,1 matches,,1 matches,1 matches,5 matches,3 matches,,1 matches,1 matches,2 matches,2 matches,1 matches,2 matches,,,,3 matches,,,,,,86
Boros Heroic,37% - 59%,11% - 69%,11% - 69%,16% - 100%,1% - 81%,7% - 70%,15% - 95%,16% - 100%,7% - 93%,--,0% - 84%,19% - 99%,2% - 100%,0% - 98%,0% - 98%,9% - 99%,19% - 99%,2% - 100%,9% - 99%,--,0% - 84%,--,--,0% - 98%,--,0% - 98%,--,--,--,--,--,--,2% - 100%,22
,48%,36%,36%,100%,25%,33%,60%,100%,50%,,0%,75%,100%,0%,0%,67%,75%,100%,67%,,0%,,,0%,,0%,,,,,,,100%,48
,83 matches,11 matches,11 matches,2 matches,4 matches,9 matches,5 matches,2 matches,4 matches,,2 matches,4 matches,1 matches,1 matches,1 matches,3 matches,4 matches,1 matches,3 matches,,2 matches,,,1 matches,,1 matches,,,,,,,1 matches,83
Golgari Sacrifice,42% - 64%,4% - 78%,10% - 82%,35% - 97%,29% - 96%,0% - 84%,35% - 97%,1% - 99%,0% - 98%,22% - 96%,0% - 84%,7% - 93%,16% - 100%,29% - 100%,0% - 98%,--,9% - 99%,--,0% - 84%,--,0% - 84%,--,--,2% - 100%,0% - 98%,0% - 98%,--,--,--,0% - 98%,--,--,--,22
,53%,33%,43%,75%,71%,0%,75%,50%,0%,67%,0%,50%,100%,100%,0%,,67%,,0%,,0%,,,100%,0%,0%,,,,0%,,,,53
,79 matches,6 matches,7 matches,8 matches,7 matches,2 matches,8 matches,2 matches,1 matches,6 matches,2 matches,4 matches,2 matches,3 matches,1 matches,,3 matches,,2 matches,,2 matches,,,1 matches,1 matches,1 matches,,,,1 matches,,,,79
Atarka Red,38% - 62%,31% - 89%,21% - 86%,0% - 52%,15% - 95%,0% - 84%,2% - 100%,9% - 99%,0% - 84%,0% - 98%,10% - 82%,1% - 99%,16% - 100%,0% - 84%,--,--,0% - 98%,2% - 100%,--,--,--,0% - 98%,0% - 98%,2% - 100%,2% - 100%,--,2% - 100%,--,--,--,9% - 99%,1% - 99%,2% - 100%,24
,50%,64%,56%,0%,60%,0%,100%,67%,0%,0%,43%,50%,100%,0%,,,0%,100%,,,,0%,0%,100%,100%,,100%,,,,67%,50%,100%,50
,78 matches,11 matches,9 matches,5 matches,5 matches,2 matches,1 matches,3 matches,2 matches,1 matches,7 matches,2 matches,2 matches,2 matches,,,1 matches,1 matches,,,,1 matches,1 matches,1 matches,1 matches,,1 matches,,,,3 matches,2 matches,1 matches,78
Golgari Midrange,23% - 45%,3% - 56%,19% - 81%,15% - 95%,0% - 71%,1% - 81%,4% - 78%,1% - 99%,0% - 98%,1% - 99%,--,--,0% - 98%,1% - 91%,--,7% - 93%,0% - 98%,2% - 100%,--,0% - 98%,--,0% - 84%,--,1% - 99%,0% - 98%,0% - 84%,--,0% - 98%,--,0% - 98%,--,0% - 98%,--,22
,34%,20%,50%,60%,0%,25%,33%,50%,0%,50%,,,0%,33%,,50%,0%,100%,,0%,,0%,,50%,0%,0%,,0%,,0%,,0%,,34
,77 matches,10 matches,10 matches,5 matches,3 matches,4 matches,6 matches,2 matches,1 matches,2 matches,,,1 matches,3 matches,,4 matches,1 matches,1 matches,,1 matches,,2 matches,,2 matches,1 matches,2 matches,,1 matches,,1 matches,,1 matches,,77
Gruul Prowess,42% - 65%,30% - 93%,11% - 69%,19% - 99%,0% - 58%,29% - 100%,0% - 98%,1% - 99%,29% - 100%,--,16% - 100%,1% - 91%,0% - 98%,2% - 100%,2% - 100%,--,--,1% - 81%,--,0% - 98%,--,2% - 100%,2% - 100%,15% - 95%,--,2% - 100%,2% - 100%,--,0% - 98%,0% - 84%,2% - 100%,15% - 95%,--,23
,53%,67%,36%,75%,14%,100%,0%,50%,100%,,100%,33%,0%,100%,100%,,,25%,,0%,,100%,100%,60%,,100%,100%,,0%,0%,100%,60%,,53
,77 matches,9 matches,11 matches,4 matches,7 matches,3 matches,1 matches,2 matches,3 matches,,2 matches,3 matches,1 matches,1 matches,1 matches,,,4 matches,,1 matches,,1 matches,1 matches,5 matches,,1 matches,1 matches,,1 matches,2 matches,1 matches,5 matches,,77
Jeskai Creativity,37% - 61%,28% - 85%,3% - 60%,--,12% - 88%,22% - 96%,0% - 84%,9% - 99%,0% - 84%,0% - 98%,2% - 100%,15% - 95%,2% - 100%,--,1% - 99%,2% - 100%,2% - 100%,9% - 99%,2% - 100%,1% - 99%,29% - 100%,--,0% - 98%,--,--,0% - 98%,0% - 98%,0% - 98%,2% - 100%,--,1% - 99%,--,--,24
,49%,58%,22%,,50%,67%,0%,67%,0%,0%,100%,60%,100%,,50%,100%,100%,67%,100%,50%,100%,,0%,,,0%,0%,0%,100%,,50%,,,49
,73 matches,12 matches,9 matches,,6 matches,6 matches,2 matches,3 matches,2 matches,1 matches,1 matches,5 matches,1 matches,,2 matches,1 matches,1 matches,3 matches,1 matches,2 matches,3 matches,,1 matches,,,1 matches,1 matches,1 matches,1 matches,,2 matches,,,73
Boros Creativity,36% - 60%,35% - 97%,19% - 81%,--,42% - 100%,0% - 48%,1% - 91%,1% - 91%,15% - 95%,0% - 98%,--,19% - 99%,--,7% - 93%,0% - 98%,--,9% - 99%,--,--,--,0% - 98%,--,0% - 98%,--,--,--,0% - 98%,--,--,0% - 98%,--,--,0% - 98%,24
,48%,75%,50%,,86%,11%,33%,33%,60%,0%,,75%,,50%,0%,,67%,,,,0%,,0%,,,,0%,,,0%,,,0%,48
,69 matches,8 matches,10 matches,,7 matches,9 matches,3 matches,3 matches,5 matches,1 matches,,4 matches,,4 matches,1 matches,,3 matches,,,,1 matches,,1 matches,,,,1 matches,,,1 matches,,,1 matches,69
Boros Convoke,34% - 60%,4% - 78%,1% - 91%,11% - 69%,16% - 84%,1% - 99%,19% - 99%,16% - 100%,--,1% - 91%,5% - 85%,--,1% - 99%,--,2% - 100%,0% - 98%,0% - 98%,1% - 99%,1% - 91%,--,--,--,--,--,0% - 84%,--,--,--,--,--,--,--,2% - 100%,26
,47%,33%,33%,36%,50%,50%,75%,100%,,33%,40%,,50%,,100%,0%,0%,50%,33%,,,,,,0%,,,,,,,,100%,47
,64 matches,6 matches,3 matches,11 matches,8 matches,2 matches,4 matches,2 matches,,3 matches,5 matches,,2 matches,,1 matches,1 matches,1 matches,2 matches,3 matches,,,,,,2 matches,,,,,,,,1 matches,64
Boros Transmogrify,33% - 60%,4% - 78%,32% - 84%,0% - 98%,9% - 99%,0% - 64%,2% - 100%,0% - 98%,0% - 84%,0% - 98%,15% - 95%,16% - 100%,--,1% - 99%,--,2% - 100%,0% - 98%,1% - 99%,--,1% - 91%,--,2% - 100%,--,--,--,--,--,--,--,--,--,--,--,27
,47%,33%,60%,0%,67%,17%,100%,0%,0%,0%,60%,100%,,50%,,100%,0%,50%,,33%,,100%,,,,,,,,,,,,47
,58 matches,6 matches,15 matches,1 matches,3 matches,6 matches,1 matches,1 matches,2 matches,1 matches,5 matches,2 matches,,2 matches,,1 matches,1 matches,2 matches,,3 matches,,1 matches,,,,,,,,,,,,58
Sultai Ramp,52% - 78%,24% - 91%,40% - 97%,0% - 98%,15% - 95%,30% - 93%,1% - 99%,0% - 98%,1% - 99%,--,1% - 99%,--,--,16% - 100%,--,--,0% - 98%,--,0% - 98%,16% - 100%,2% - 100%,2% - 100%,--,--,--,--,--,1% - 99%,2% - 100%,--,--,2% - 100%,--,26
,66%,63%,78%,0%,60%,67%,50%,0%,50%,,50%,,,100%,,,0%,,0%,100%,100%,100%,,,,,,50%,100%,,,100%,,66
,56 matches,8 matches,9 matches,1 matches,5 matches,9 matches,2 matches,1 matches,2 matches,,2 matches,,,2 matches,,,1 matches,,1 matches,2 matches,1 matches,1 matches,,,,,,2 matches,1 matches,,,1 matches,,56
4 Color Rona,39% - 68%,18% - 90%,30% - 93%,1% - 72%,15% - 95%,2% - 100%,9% - 99%,2% - 100%,--,9% - 99%,--,2% - 100%,1% - 99%,0% - 98%,0% - 98%,--,0% - 98%,--,--,--,--,--,--,0% - 98%,--,2% - 100%,2% - 100%,1% - 99%,0% - 98%,--,--,--,--,29
,54%,57%,67%,20%,60%,100%,67%,100%,,67%,,100%,50%,0%,0%,,0%,,,,,,,0%,,100%,100%,50%,0%,,,,,54
,52 matches,7 matches,9 matches,5 matches,5 matches,1 matches,3 matches,1 matches,,3 matches,,1 matches,2 matches,1 matches,1 matches,,1 matches,,,,,,,1 matches,,1 matches,1 matches,2 matches,1 matches,,,,,52
Rakdos Creativity,40% - 69%,9% - 61%,0% - 98%,16% - 84%,1% - 91%,--,19% - 99%,2% - 100%,--,40% - 100%,--,--,1% - 99%,2% - 100%,2% - 100%,--,--,--,2% - 100%,2% - 100%,--,--,1% - 99%,--,1% - 91%,--,--,--,--,--,--,--,--,29
,55%,31%,0%,50%,33%,,75%,100%,,100%,,,50%,100%,100%,,,,100%,100%,,,50%,,33%,,,,,,,,,55
,49 matches,13 matches,1 matches,8 matches,3 matches,,4 matches,1 matches,,4 matches,,,2 matches,1 matches,1 matches,,,,1 matches,1 matches,,,2 matches,,3 matches,,,,,,,,,49
Rakdos Cauldron,40% - 70%,9% - 99%,16% - 84%,1% - 91%,5% - 85%,15% - 95%,0% - 84%,16% - 100%,7% - 93%,--,16% - 100%,--,0% - 84%,--,16% - 100%,2% - 100%,--,--,--,0% - 98%,--,--,--,2% - 100%,--,--,--,--,--,2% - 100%,--,--,--,30
,56%,67%,50%,33%,40%,60%,0%,100%,50%,,100%,,0%,,100%,100%,,,,0%,,,,100%,,,,,,100%,,,,56
,45 matches,3 matches,8 matches,3 matches,5 matches,5 matches,2 matches,2 matches,4 matches,,2 matches,,2 matches,,2 matches,1 matches,,,,1 matches,,,,1 matches,,,,,,1 matches,,,,45
Esper Greasefang,34% - 66%,4% - 78%,7% - 93%,9% - 99%,19% - 99%,0% - 84%,1% - 99%,1% - 99%,--,9% - 99%,1% - 91%,2% - 100%,0% - 98%,--,2% - 100%,--,--,--,1% - 99%,--,2% - 100%,--,0% - 98%,--,0% - 98%,--,--,--,--,--,0% - 98%,--,--,32
,50%,33%,50%,67%,75%,0%,50%,50%,,67%,33%,100%,0%,,100%,,,,50%,,100%,,0%,,0%,,,,,,0%,,,50
,42 matches,6 matches,4 matches,3 matches,4 matches,2 matches,2 matches,2 matches,,3 matches,3 matches,1 matches,1 matches,,1 matches,,,,2 matches,,1 matches,,1 matches,,1 matches,,,,,,1 matches,,,42
Orzhov Tokens,23% - 55%,1% - 81%,22% - 96%,0% - 98%,7% - 93%,0% - 60%,0% - 98%,--,1% - 99%,0% - 98%,2% - 100%,1% - 99%,--,--,0% - 98%,0% - 98%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1% - 99%,32
,38%,25%,67%,0%,50%,0%,0%,,50%,0%,100%,50%,,,0%,0%,,,,,,,,,,,,,,,,,50%,38
,39 matches,4 matches,6 matches,1 matches,4 matches,4 matches,1 matches,,2 matches,1 matches,1 matches,2 matches,,,1 matches,1 matches,,,,,,,,,,,,,,,,,2 matches,39
Bring to Beanstalk,42% - 77%,22% - 96%,3% - 65%,--,2% - 100%,40% - 100%,--,1% - 99%,1% - 99%,--,16% - 100%,--,--,--,--,--,--,--,--,1% - 99%,1% - 99%,--,--,--,--,--,--,2% - 100%,--,2% - 100%,--,--,--,35
,61%,67%,25%,,100%,100%,,50%,50%,,100%,,,,,,,,,50%,50%,,,,,,,100%,,100%,,,,61
,33 matches,6 matches,8 matches,,1 matches,4 matches,,2 matches,2 matches,,2 matches,,,,,,,,,2 matches,2 matches,,,,,,,1 matches,,1 matches,,,,33
Orzhov Humans,30% - 67%,1% - 91%,2% - 100%,16% - 100%,0% - 98%,1% - 99%,0% - 98%,1% - 99%,--,0% - 84%,--,2% - 100%,--,9% - 99%,2% - 100%,0% - 98%,--,--,2% - 100%,2% - 100%,--,--,2% - 100%,--,0% - 98%,0% - 98%,--,--,--,--,--,--,--,37
,48%,33%,100%,100%,0%,50%,0%,50%,,0%,,100%,,67%,100%,0%,,,100%,100%,,,100%,,0%,0%,,,,,,,,48
,31 matches,3 matches,1 matches,2 matches,1 matches,2 matches,1 matches,2 matches,,2 matches,,1 matches,,3 matches,1 matches,1 matches,,,1 matches,1 matches,,,1 matches,,1 matches,1 matches,,,,,,,,31
Sultai Yorion,42% - 79%,21% - 86%,9% - 99%,--,2% - 100%,1% - 99%,1% - 99%,16% - 100%,--,--,--,2% - 100%,--,2% - 100%,--,--,--,--,--,--,--,1% - 99%,--,0% - 84%,--,--,--,--,--,--,--,--,2% - 100%,37
,62%,56%,67%,,100%,50%,50%,100%,,,,100%,,100%,,,,,,,,50%,,0%,,,,,,,,,100%,62
,29 matches,9 matches,3 matches,,1 matches,2 matches,2 matches,2 matches,,,,1 matches,,1 matches,,,,,,,,2 matches,,2 matches,,,,,,,,,1 matches,29
Jeskai Control,31% - 69%,5% - 85%,1% - 81%,9% - 99%,2% - 100%,2% - 100%,--,--,2% - 100%,--,0% - 84%,--,--,0% - 98%,--,--,1% - 91%,--,--,--,--,16% - 100%,--,--,--,--,--,--,--,--,--,--,--,38
,50%,40%,25%,67%,100%,100%,,,100%,,0%,,,0%,,,33%,,,,,100%,,,,,,,,,,,,50
,28 matches,5 matches,4 matches,3 matches,1 matches,1 matches,,,1 matches,,2 matches,,,1 matches,,,3 matches,,,,,2 matches,,,,,,,,,,,,28
Merfolks,24% - 63%,0% - 84%,21% - 86%,1% - 81%,--,--,0% - 98%,1% - 91%,0% - 98%,--,2% - 100%,16% - 100%,0% - 98%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2% - 100%,--,--,39
,43%,0%,56%,25%,,,0%,33%,0%,,100%,100%,0%,,,,,,,,,,,,,,,,,,100%,,,43
,28 matches,2 matches,9 matches,4 matches,,,1 matches,3 matches,1 matches,,1 matches,2 matches,1 matches,,,,,,,,,,,,,,,,,,1 matches,,,28
Bant Spirits,24% - 63%,9% - 99%,15% - 95%,--,0% - 98%,7% - 93%,--,1% - 99%,1% - 99%,--,2% - 100%,--,0% - 98%,--,--,--,1% - 99%,--,--,0% - 84%,0% - 98%,--,--,--,--,--,--,--,0% - 98%,--,--,--,--,39
,43%,67%,60%,,0%,50%,,50%,50%,,100%,,0%,,,,50%,,,0%,0%,,,,,,,,0%,,,,,43
,28 matches,3 matches,5 matches,,1 matches,4 matches,,2 matches,2 matches,,1 matches,,1 matches,,,,2 matches,,,2 matches,1 matches,,,,,,,,1 matches,,,,,28
Orzhov Midrange,32% - 71%,22% - 96%,1% - 72%,--,2% - 100%,1% - 81%,--,--,2% - 100%,--,1% - 99%,2% - 100%,--,--,0% - 98%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,39
,52%,67%,20%,,100%,25%,,,100%,,50%,100%,,,0%,,,,,,,,,,,,,,,,,,,52
,27 matches,6 matches,5 matches,,1 matches,4 matches,,,1 matches,,2 matches,1 matches,,,1 matches,,,,,,,,,,,,,,,,,,,27
Jeskai Ascendancy,14% - 50%,4% - 71%,0% - 52%,0% - 98%,0% - 98%,29% - 100%,0% - 98%,--,--,0% - 98%,0% - 98%,--,--,0% - 98%,--,--,0% - 98%,--,--,--,2% - 100%,--,--,--,--,--,--,2% - 100%,0% - 98%,--,--,--,--,36
,30%,29%,0%,0%,0%,100%,0%,,,0%,0%,,,0%,,,0%,,,,100%,,,,,,,100%,0%,,,,,30
,27 matches,7 matches,5 matches,1 matches,1 matches,3 matches,1 matches,,,1 matches,1 matches,,,1 matches,,,1 matches,,,,1 matches,,,,,,,1 matches,1 matches,,,,,27
Mono Blue Spirits,31% - 72%,19% - 99%,12% - 88%,--,0% - 98%,--,2% - 100%,2% - 100%,0% - 98%,--,--,1% - 99%,--,0% - 98%,--,2% - 100%,--,1% - 99%,--,0% - 98%,2% - 100%,--,--,--,--,--,--,--,--,--,--,0% - 98%,--,41
,52%,75%,50%,,0%,,100%,100%,0%,,,50%,,0%,,100%,,50%,,0%,100%,,,,,,,,,,,0%,,52
,25 matches,4 matches,6 matches,,1 matches,,1 matches,1 matches,1 matches,,,2 matches,,1 matches,,1 matches,,2 matches,,1 matches,1 matches,,,,,,,,,,,1 matches,,25
Archfiend Alteration,12% - 49%,19% - 99%,5% - 85%,0% - 84%,0% - 84%,1% - 91%,0% - 98%,1% - 99%,--,--,--,--,0% - 98%,0% - 98%,--,0% - 98%,--,--,0% - 84%,--,--,--,--,--,--,--,--,--,--,--,--,--,--,37
,28%,75%,40%,0%,0%,33%,0%,50%,,,,,0%,0%,,0%,,,0%,,,,,,,,,,,,,,,28
,25 matches,4 matches,5 matches,2 matches,2 matches,3 matches,1 matches,2 matches,,,,,1 matches,1 matches,,1 matches,,,2 matches,,,,,,,,,,,,,,,25
Golgari Roots,15% - 54%,7% - 93%,9% - 99%,0% - 71%,0% - 71%,1% - 99%,--,--,--,0% - 98%,--,--,2% - 100%,--,--,--,--,--,--,--,--,2% - 100%,--,--,--,--,0% - 98%,--,--,1% - 99%,--,--,0% - 98%,39
,32%,50%,67%,0%,0%,50%,,,,0%,,,100%,,,,,,,,,100%,,,,,0%,,,50%,,,0%,32
,25 matches,4 matches,3 matches,3 matches,3 matches,2 matches,,,,1 matches,,,1 matches,,,,,,,,,1 matches,,,,,1 matches,,,2 matches,,,1 matches,25
Rainbow Humans,37% - 78%,0% - 84%,1% - 91%,2% - 100%,1% - 99%,0% - 98%,2% - 100%,7% - 93%,16% - 100%,0% - 84%,--,--,16% - 100%,--,--,16% - 100%,--,--,--,--,--,--,--,--,--,--,--,2% - 100%,--,--,--,--,--,41
,58%,0%,33%,100%,50%,0%,100%,50%,100%,0%,,,100%,,,100%,,,,,,,,,,,,100%,,,,,,58
,24 matches,2 matches,3 matches,1 matches,2 matches,1 matches,1 matches,4 matches,2 matches,2 matches,,,2 matches,,,2 matches,,,,,,,,,,,,1 matches,,,,,,24
